AGENT_NO	CODE	SUB_NO	REMARKS	REFUND	DES	INI	NAME	DEPT	INSTITUTE	ADDRESS	CITY	DISTT	COUNTRY	PIN	FASC	P	NOP	JAA	NOJAA	MS	NOMS	EPS	NOEPS	BMS	NOBMS	CS	NOCS	S	NOS	JB	NOJB	JG	NOJG	RES	NORES	AS	NOAS	CURR	NOCURR	PAID_FLAG	REMARK	ST_YR	END_YR	ST_DT	END_DT	AGENT	B	AN	AD	AD1	AD2	AC	ACO	CANCEL	EMAIL	TEL
0	FI	104					Minnesota University	Bio-Medical Library - 325	"Diehl Hall, 505 Essex Street SE"	Minneapolis	MN 55455-0334		U.S.A.			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	0	0	0	0	0	0	Y	JG   AIR MAIL	1989	2006		12/31/1996	Prints										
0	FI	105					European Space Agency	Biblioteca	"Apartado,  50727"		Madrid 28080		Spain			0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	89	93	1/1/1989	12/31/1993											
0	FI	106					Koebenhavns Universietsbiblotek	Nord (Id: 15786)  Bibliotek	Norre Alle 49		2200 Koebenhavn N		Denmark			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	0	0	0	0	7	1	Y	JG   AIR MAIL	1989	2007		12/31/1996	Prints										
0	FI	107					Institute de Matematica EStatistica	Biblioteca	Rua do Matao	1010 - Cidade Universitaria	05508-090 Sao Paulo SP		Brazil			0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	MS   AIR MAIL	2006	2006		12/31/1994	USP										
0	FI	108					Instituto Astronomico E Geofisico	USP - Biblioteca	"R. do Matao, 1226"		05508-090 Sao Paulo SP		Brazil			0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	2006	2006		12/31/1996	USP										
0	FI	109					Department of Mathematics	400 Carvery Hall	Iowa State University		Ames IA 50011-2064		U.S.A.			0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	CURR   AIR MAIL	2003	2003		12/31/1993											
0	FI	110		Curr Vol.71/5 sent 30.1.97			Central Library of Agricultural	Science	P.O.B.  12		Rehovoth  76100		Israel			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	Y	CURR   AIR MAIL	89	2000	1/1/1989	12/31/1996	Blackwells										
0	FI	111					Cecilia D' Amico	c/o  E.S.I.A.	Esia Books and Journals Srl.	"Via. Palestro, 30"	Roma RM  00185		Italy			9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	P   AIR MAIL	90	2003	1/1/1990	12/31/1996	"ESIA Books, Italy"										
0	FI	112					Tokyo-Kogyo Daigaku-Toshokan	(Tokyo Institute of Technology Lib)	Ookayama	Meguro-Ku	Tokyo 152-0033 (MZ)		Japan			0	0	0	0	4	1	4	1	0	0	6	1	0	0	3	1	0	0	0	0	0	0	0	0	Y	MS   AIR MAIL	1990	2005	1/1/1990	12/31/1993	Maruzen Co. Ltd										
0	FI	113					National Agricultural Library	"Current Serial Records, Room 002"	Acquisitions & Serials Branch	"10301 Baltimore Blvd., Beltsville"	MD 20705-2351		U.S.A.			0	0	0	0	9	1	8	1	0	0	11	1	0	0	11	1	0	0	0	0	0	0	9	1	Y	CURR   AIR MAIL	1990	2006		12/31/1996	Prints										
0	FI	114					Blackwell's Plus (CSHUP)	Sub No. 63329883	P.O. Box No. 872	Oxford	Oxford  OX2 DYL		Great Britain			0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	Y	JG   AIR MAIL	99	0	1/1/1997	12/31/1991											
0	FI	115					Tasmania  University	Morris Miller Library - Serials	Locked Bag  25  G.P.O	Hobart	Tasmania  7001		Australia			0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	89	1998	1/1/1989	12/31/1996	Blackwells										
